"","team_name","conf","div","win","loss","win_loss_pct","mov","ortg","drtg","ntrg","movA","ortgA","drtgA","nrtgA","plyf"
"159","New Orleans Pelicans","E","C",47,35,0.573,2.11,104.61,102.28,2.33,1.52,104.36,102.68,1.69,1
"160","Oklahoma City Thunder","W","P",40,42,0.488,-0.12,104.48,104.63,-0.14,0.37,104.64,104.25,0.4,0
"161","Milwaukee Bucks","E","C",42,40,0.512,0.23,109.62,109.36,0.26,-0.24,109.72,109.97,-0.25,1
"162","Orlando Magic","E","A",42,40,0.512,0.13,105.84,105.72,0.12,-0.39,105.75,106.2,-0.45,1
"163","Golden State Warriors","W","P",38,44,0.463,-1.13,109.01,110.1,-1.09,-0.59,109.45,109.96,-0.51,0
"164","Boston Celtics","E","A",44,38,0.537,-0.39,101.9,102.33,-0.43,-0.75,101.78,102.59,-0.81,1
"165","Washington Wizards","E","A",37,45,0.451,-1.01,103.82,105.06,-1.25,-1.47,103.75,105.49,-1.74,0
"166","New York Knicks","E","A",37,45,0.451,-1.35,105.34,106.81,-1.47,-1.61,105.37,107.12,-1.75,0
"167","Memphis Grizzlies","W","M",28,54,0.341,-3.23,104.47,108.08,-3.62,-2.59,104.79,107.71,-2.92,0
"168","Los Angeles Clippers","W","P",27,55,0.329,-4.12,103,107.51,-4.51,-3.44,103.3,107.07,-3.77,0
"169","Atlanta Hawks","E","C",35,47,0.427,-3.56,103.1,106.96,-3.86,-3.87,103.07,107.27,-4.19,0
"170","Chicago Bulls","E","C",30,52,0.366,-5.13,101.03,106.3,-5.27,-5.3,100.99,106.45,-5.47,0
"171","Miami Heat","E","A",25,57,0.305,-5.05,97.53,103.31,-5.78,-5.13,97.37,103.23,-5.87,0
"172","Toronto Raptors","E","C",24,58,0.293,-5.87,101.37,107.99,-6.62,-6.09,101.36,108.21,-6.85,0
"173","Denver Nuggets","W","M",17,65,0.207,-8.28,93.2,102.26,-9.06,-7.41,93.22,101.33,-8.11,0
"174","Cleveland Cavaliers","E","C",17,65,0.207,-9.62,97.25,107.48,-10.23,-9.58,97.25,107.45,-10.2,0
"175","San Antonio Spurs","W","M",57,25,0.695,7.22,103.01,94.79,8.23,7.51,102.62,94.09,8.53,1
"176","Minnesota Timberwolves","W","M",58,24,0.707,5.49,106.53,100.3,6.23,5.86,106.41,99.79,6.62,1
"177","Sacramento Kings","W","P",55,27,0.671,5.01,110.87,105.42,5.45,5.41,111.02,105.14,5.88,1
"178","Detroit Pistons","E","C",54,28,0.659,5.84,103.18,96.48,6.7,5.04,102.81,97.01,5.81,1
"179","Indiana Pacers","E","C",61,21,0.744,5.76,104.77,98.16,6.61,4.93,104.47,98.77,5.7,1
"180","Dallas Mavericks","W","M",52,30,0.634,4.44,113.01,108.1,4.92,4.86,113.3,107.92,5.37,1
"181","Los Angeles Lakers","W","P",56,26,0.683,3.9,106.23,102.06,4.16,4.35,106.2,101.54,4.65,1
"182","Memphis Grizzlies","W","M",50,32,0.61,2.44,105.56,102.97,2.6,2.95,105.58,102.41,3.16,1
"183","Houston Rockets","W","M",45,37,0.549,1.73,101.8,99.87,1.93,2.28,101.65,99.13,2.52,1
"184","Brooklyn Nets","E","A",47,35,0.573,2.5,101.76,99.05,2.71,1.88,101.52,99.49,2.03,1
"185","Denver Nuggets","W","M",43,39,0.524,1.07,104.61,103.73,0.88,1.65,104.66,103.13,1.52,1
"186","Milwaukee Bucks","E","C",41,41,0.5,1.06,107.28,106.09,1.19,0.42,107.34,106.85,0.49,1
"187","Oklahoma City Thunder","W","P",37,45,0.451,-0.63,108.11,108.79,-0.69,0.02,108.41,108.38,0.03,0
"188","Golden State Warriors","W","P",37,45,0.451,-0.73,103.71,104.54,-0.83,-0.07,103.8,103.91,-0.1,0
"189","Miami Heat","E","A",42,40,0.512,0.52,102.92,102.48,0.43,-0.13,102.81,103.08,-0.28,1
"190","Utah Jazz","W","M",42,40,0.512,-1.22,103.12,104.52,-1.4,-0.53,103.21,103.86,-0.65,0
"191","Portland Trail Blazers","W","P",41,41,0.5,-1.27,104.58,106.04,-1.47,-0.58,104.74,105.45,-0.71,0
"192","New Orleans Pelicans","E","C",41,41,0.5,-0.1,103.36,103.47,-0.12,-0.72,103.25,104.05,-0.79,1
"193","New York Knicks","E","A",39,43,0.476,-1.48,102.39,104.02,-1.63,-1.97,102.4,104.56,-2.17,1
"194","Boston Celtics","E","A",36,46,0.439,-1.45,102.76,104.39,-1.63,-1.99,102.66,104.89,-2.23,1
"195","Phoenix Suns","W","P",29,53,0.354,-3.74,102.33,106.35,-4.02,-2.94,102.5,105.65,-3.14,0
"196","Philadelphia 76ers","E","A",33,49,0.402,-2.49,100.29,103.04,-2.76,-2.95,100.28,103.54,-3.26,0
"197","Cleveland Cavaliers","E","C",35,47,0.427,-2.62,102.1,105.05,-2.95,-3.07,102.16,105.59,-3.43,0
"198","Toronto Raptors","E","C",33,49,0.402,-3.01,97.75,101.27,-3.53,-3.41,97.65,101.61,-3.95,0
"199","Los Angeles Clippers","W","P",28,54,0.341,-4.59,104.3,109.4,-5.1,-3.74,104.63,108.81,-4.18,0
"200","Atlanta Hawks","E","C",28,54,0.341,-4.65,101.91,107.01,-5.11,-5,102.02,107.51,-5.49,0
"201","Washington Wizards","E","A",25,57,0.305,-5.63,99.46,105.62,-6.15,-6.12,99.35,106.04,-6.69,0
"202","Chicago Bulls","E","C",23,59,0.28,-6.35,97.49,104.38,-6.88,-6.69,97.42,104.67,-7.25,0
"203","Orlando Magic","E","A",21,61,0.256,-7.02,103.53,111.31,-7.78,-7.25,103.84,111.86,-8.02,0
"204","San Antonio Spurs","W","SW",59,23,0.72,7.8,108.45,99.59,8.85,7.84,108.18,99.31,8.87,1
"205","Phoenix Suns","W","P",62,20,0.756,7.12,115.01,107.53,7.49,7.08,115.06,107.63,7.43,1
"206","Dallas Mavericks","W","SW",58,24,0.707,5.74,111.32,104.88,6.44,5.85,111.3,104.76,6.55,1
"207","Miami Heat","E","SE",59,23,0.72,6.52,111.08,103.74,7.33,5.76,110.81,104.31,6.5,1
"208","Houston Rockets","W","SW",51,31,0.622,4.04,107.03,102.57,4.46,4.26,106.85,102.15,4.7,1
"209","Detroit Pistons","E","C",54,28,0.659,3.87,106.49,102.07,4.42,3.31,106.19,102.38,3.81,1
"210","Oklahoma City Thunder","W","NW",52,30,0.634,2.29,113.09,110.41,2.68,2.59,113.33,110.34,2.99,1
"211","Memphis Grizzlies","W","SW",45,37,0.549,2.29,106.5,103.89,2.61,2.63,106.57,103.6,2.97,1
"212","Sacramento Kings","W","P",50,32,0.61,2.16,111.02,108.76,2.26,2.55,111.16,108.46,2.7,1
"213","Denver Nuggets","W","NW",49,33,0.598,2.02,106.6,104.67,1.93,2.22,106.49,104.34,2.15,1
"214","Minnesota Timberwolves","W","NW",44,38,0.537,1.45,108.99,107.35,1.64,1.73,108.98,107.05,1.93,0
"215","Chicago Bulls","E","C",47,35,0.573,1.06,102.14,101.01,1.13,0.65,101.84,101.15,0.69,1
"216","Indiana Pacers","E","C",44,38,0.537,0.76,106.46,105.55,0.91,0.49,106.47,105.85,0.62,1
"217","Boston Celtics","E","A",45,37,0.549,0.87,108.31,107.4,0.91,0.34,108.27,107.92,0.35,1
"218","Cleveland Cavaliers","E","C",42,40,0.512,0.79,107.58,106.68,0.89,0.27,107.5,107.17,0.33,0
"219","Los Angeles Clippers","W","P",37,45,0.451,-0.77,106.76,107.5,-0.74,-0.47,106.78,107.2,-0.43,0
"220","Washington Wizards","E","SE",45,37,0.549,-0.33,107.94,108.32,-0.38,-0.72,107.91,108.7,-0.79,1
"221","Philadelphia 76ers","E","A",43,39,0.524,-0.74,104,104.86,-0.86,-1.08,103.82,105.03,-1.21,1
"222","Toronto Raptors","E","A",33,49,0.402,-1.62,107.78,109.41,-1.63,-1.81,107.85,109.68,-1.83,0
"223","Golden State Warriors","W","P",34,48,0.415,-2.16,105.24,107.71,-2.46,-1.74,105.22,107.24,-2.01,0
"224","Brooklyn Nets","E","A",42,40,0.512,-1.5,102.29,104.02,-1.73,-1.82,102.11,104.18,-2.07,1
"225","Los Angeles Lakers","W","P",34,48,0.415,-2.96,108.86,112.12,-3.27,-2.33,109.16,111.74,-2.58,0
"226","Orlando Magic","E","SE",36,46,0.439,-2.24,105.7,108.01,-2.31,-2.52,105.73,108.33,-2.6,0
"227","New York Knicks","E","A",33,49,0.402,-2.44,106.93,109.59,-2.66,-2.73,107.05,110.01,-2.96,0
"228","Milwaukee Bucks","E","C",30,52,0.366,-2.99,107,110.42,-3.42,-3.09,107.21,110.72,-3.51,0
"229","Portland Trail Blazers","W","NW",27,55,0.329,-4,104.26,108.64,-4.37,-3.45,104.39,108.17,-3.78,0
